Kodas:;Pavadinimas:;mato vnt:;Ilgis:;Kaina:;Paveikslėlio adresas:;Spalvos RAL;Svoris:;Filtras:;Part name:;Filter en;Kategorija
ALT.100.0501;"Susidurimas ""H""";m;"6.8;1";5,82;ALT.100.0501;"7016; 8017";222;Rėminė AL100;"Conect profile"" H""";Frame AL100;Profiliai
7648;"Horizontalus profilis ""VC65""";m;"6.5;1";7,00;7648;"7016; 8017";626;Rėminė VC65;"Horizontal profile ""VC65";Frame VC65;Profiliai
7649;"Vertikalus su rankena ""VC65""";m;"5.5;1";9,61;7649;"7016; 8017";863;Rėminė VC65;"Vertical with handle ""VC65""";Frame VC65;Profiliai
7650;"Vertikalus  ""VC65""";m;"5.5;1";7,96;7650;"7016; 8017";712;Rėminė VC65;"Vertical ""VC65""";Frame VC65;Profiliai
VC65.0404;"Susidurimas - H  ""VC65""";m;"6.8;1";5,05;VC65.0404;"7016; 8017";270;Rėminė VC65;"Profile"" H"" ""VC65""";Frame VC65;Profiliai
ALT.100.0105;Vitrina 40mm;m;"6.5;1";5,81;ALT.100.0105;"7016; 8017";518;Rėminė AL40;"Frame vitrine ""40mm""";Frame AL40;Profiliai
ALT.100.0602;"40mm vitrinos stiklajuostė ""CLICK"" 4-6mm";m;"6.5;1";1,96;ALT.100.0602;"7016; 8017";174;Rėminė AL40;"40mm vitrine cover ""CLICK"" 4-6mm";Frame AL40;Profiliai
ALT.100.0603;"40mm vitrinos stiklajuostė ""CLICK"" 16mm";m;"6.5;1";4,64;ALT.100.0603;"7016; 8017";171;Rėminė AL40;"40mm vitrine cover ""CLICK"" 16mm";Frame AL40;Profiliai
ALT.100.0301;Tiejinis vitrinai;m;"6.5;1";6,79;ALT.100.0301;"7016; 8017";608;Rėminė AL40;T vitrine profile;Frame AL40;Profiliai
049ES 08;kampinė jungtis 40mm (70vnt);vnt;"70;490;1";0,58;049ES 08;nesirenkama;35;Rėminė AL40;"Angle conect 40mm ""ALT""";Frame AL40;Detales
9ES110;kampinė jungtis 60mm ;vnt;1;1,09;9ES110;nesirenkama;100;Rėminė AL60;"Angle conect 40mm ""ALT""";Frame AL60;Detales
8RU204;Ratukas (300vnt);vnt;"300;1";1,01;8RU204;nesirenkama;57;Rėminė AL100;Roller (8RU204);Frame AL100;Detales
01VR05;Ratukas VC65 (1vnt);vnt;"50;1";2,37;01VR05;nesirenkama;36;Rėminė VC65;Roller (8RU204);Frame VC65;Detales
8KT2;Surinkimo komplektas (100vnt);vnt;"100;1";1,17;8KT2;nesirenkama;48;Rėminė AL100;Assembly kit;Frame AL100;Detales
9ES80;Tejinio jungtis (200vnt);vnt;"200;1000;1";0,50;9ES80;nesirenkama;17;Rėminė AL40;Tconect;Frame AL40;Detales
8CI147;Rankenėlė - fiksatorius (50vnt);vnt;"50;200;1";2,06;8CI147;Juoda;65;Rėminė AL100;Handle - fix;Frame AL100;Detales
244C;Dvipusė rankenėlė - su raktu (1vnt);vnt;1;22,80;244C;Juoda;229;Rėminė AL100;Double handle - fix;Frame AL100;Detales
Lsi-05;Tarpinė ALT varčių rinkimui (4-5mm) 185m;vnt;"185;1";0,53;Lsi-05;Juoda;79;Rėminė AL100;Seal ALT assembly(4-5mm);Frame AL100;Gumos
Lsi-06;Tarpinė ALT varčių rinkimui 6mm) 200m;vnt;"200;1";0,48;Lsi-06;Juoda;78;Rėminė AL100;Seal ALT assembly(6mm);Frame AL100;Gumos
049GO 4;Užkišama vitrinai (4-5mm) 260m;vnt;"260;1";0,44;049GO 4;Juoda;72;Rėminė AL40;Seal ALT vitrine4-5mm);Frame AL40;Gumos
049GO 04;Užkišama vitrinai (6mm) 370m;vnt;"370;1";0,32;049GO 4;Juoda;50;Rėminė AL40;Seal ALT vitrine(6mm);Frame AL40;Gumos
049GO 42;Neriama ovalas vitrinai (4-5-6mm) 200m;vnt;"200;1";0,53;049GO 42;nesirenkama;37;Rėminė AL40;Seal circle ALT vitrine(4-5-6mm);Frame AL40;Gumos
C2201;VC65 kampinė jungtis(100vnt);vnt;"100;400;1";1,04;C2201;nesirenkama;49;Rėminė VC65;Conect angle VC65(100psc);Frame VC65;Gumos
C2203;VC65  fiksuojanti jungtis(100vnt);vnt;"100;250;600;1";1,28;C2203;nesirenkama;26;Rėminė VC65;Conect angle VC65 with button(100psc);Frame VC65;Detales
C2202;VC65 rankenos dangtelis(D-500K arba K-500=1000K/D);vnt;"500;1000;1";0,39;C2202;Juodas;4;Rėminė VC65;Conect anglehandle VC65(1000K or D / 500K or D);Frame VC65;Detales
DRD;Drenažų dangtelis vitrinai 40mm (50vnt);vnt;"50;1";0,18;DRD;Juodas;100;Rėminė AL40;Drenage cover(50psc);Frame AL40;Detales
7228;"Viršutinis bėgelis ""3t""(7228)";m;"7;1";17,49;7228;"7016; 8017";1565;Berėmė;"Upper track ""3T""(7228)";Frameless;Profiliai
7340;Viršutinis bėgelis +1(7340);m;"4.2;5.2;7";8,63;7340;"7016; 8017";772;Berėmė;Upper track+1(7340);Frameless;Profiliai
7344;Horizontalus stiklui(7344);m;"7;1";9,49;7344;"7016; 8017";849;Berėmė;Horizontal (7344);Frameless;Profiliai
7435;Slide sienos lovys(7435);m;"5;1";6,03;7435;"7016; 8017";555;Berėmė;Slide wall profile(7435);Frameless;Profiliai
7229;"Apatinis bėgelis ""3t""(7229)";m;"7;1";10,46;7229;Anode;910;Berėmė;"Down track ""3T""(7229)";Frameless;Profiliai
7426;"Apatinis bėgelis ""4t""(7426)";m;"4.2;1";14,36;7426;Anode;1249;Berėmė;"Down track ""4T""(7426)";Frameless;Profiliai
7713;"Apatinis bėgelis ""+5T""(7713)";m;"5.2;1";17,70;7713;Anode;1540;Berėmė;"Down track ""5T""(7713)";Frameless;Profiliai
7229.1;"Apatinis bėgelis ""+1T""(7229-1)";m;"5.1;6.5;1";4,07;7229.1;Anode;362;Berėmė;"Down track ""+1T""(7229-1)";Frameless;Profiliai
7999;Lovelis tarp stiklų 8mm (7999) ;m;"4.6;1";1,49;7999;Anode;129;Berėmė;Beetween glass profile 8mm (7999) ;Frameless;Profiliai
7436;Lovelis tarp stiklų 10mm (7436) ;m;"5;1";1,49;7436;Anode;124;Berėmė;Beetween glass profile 10mm (7436) ;Frameless;Profiliai
E101;Dangtelis(E101) (1vnt);vnt;1;6,18;E101;Anodas;7;Berėmė;Cover(E101);Frameless;Detales
E102;Dangtelis(E102) (1vnt);vnt;1;9,06;E102;Anodas;20;Berėmė;Cover(E102);Frameless;Detales
E103;Guolinis ratukas(E103) (200vnt);vnt;"200;1";6,50;E103;nesirenkama;104;Berėmė;Roller (E103);Frameless;Detales
E105;"Slide ""NP"" rankena (75vnt)";vnt;"75;150;1";4,80;E105;nesirenkama;114;Berėmė;"Slide ""SS"" handle 60x7";Frameless;Detales
E106-8;Tarpinė surinkimui 8mm(E106-8) 125m;vnt;"125;1";0,84;E106-8;nesirenkama;129;Berėmė;Assembly seal(E106-8) 125m;Frameless;Gumos
E106-10;Tarpinė surinkimui 10mm(E106-10) 205m;vnt;"205;1";0,48;E106-10;Juoda;66;Berėmė;Assembly seal(E106-10) 205m;Frameless;Gumos
E107;Šepetėlis 7x5(E107)  375m;vnt;"375;1";0,16;E107;Juoda;6;Berėmė;Pile  7x5(E107)  375m;Frameless;Šepetėliai
E108;Šepetėlis 7x7(E108) 225m;vnt;"250;1";0,16;E108;Juoda;7;Berėmė;Pile 7x7(E108) 225m;Frameless;Šepetėliai
E109;Šepetėlis be tarpinės 7x13(E109) 300m;vnt;"300;1";0,30;E109;Pilkas;11;Berėmė;Pile 7x13 without gasket(E109) 300m;Frameless;Šepetėliai
E110;Šepetėlis 7x13 su tarpine(E110) 275m;vnt;"275;1";0,36;E110;Pilkas;11;Berėmė;Pile 7x12 with gasket(E110) 275m;Frameless;Šepetėliai
E112;Šepetėlis 7x10 (E112) 400m;vnt;"400;1";0,32;E112;Juodas;9;Berėmė;Pile 7x10 (E112) 400m;Frameless;Šepetėliai
E111;Fiksatorius(E111)  (1vnt);vnt;1;13,40;E111;nesirenkama;39;Berėmė;Fiks(E111) 1psc;Frameless;Detales
379775; Al Porankis;m;7;16,90;379775;nesirenkama;1650;Turėklas;Al Handrail;Handrail;Profiliai
379776;Al Statramstis;m;6.6;18,48;379776;nesirenkama;1820;Turėklas;Al Mullion;Handrail;Profiliai
379777;AL Stiklajuostė;m;7;5,50;379777;nesirenkama;530;Turėklas;Al Glazing Bead;Handrail;Profiliai
379739;Užkišama tarpinė;m;"300;1";0,78;379739;nesirenkama;100;Turėklas;Insert Gasket;Handrail;Gumos
372901;Neriama tarpinė;m;"400;1";0,60;372901;nesirenkama;100;Turėklas;Push-in Gasket;Handrail;Gumos
379412;Np kniedė( 4x12 );vnt;1;0,50;379412;nesirenkama;1;Turėklas;NP rivet (4x12);Handrail;Detales
373925;NP savisriegis (3,9x25);vnt;1;0,23;373925;nesirenkama;1;Turėklas;NP self-tapping screw (3.9x25);Handrail;Detales
379778;Tvirtinimo varžtas;vnt;1;1,75;379778;nesirenkama;1;Turėklas;Fixing bolt;Handrail;Detales
